William,11,90,90,90,90
Emile,6,0,0,0,1
Emile,7,0,0.3333333333333333,0,9
Emile,8,0,3.3333333333333335,1,0
Emile,9,1,3.3333333333333335,1,22
Emile,10,9,10.333333333333334,9,72
Emile,11,0,31.333333333333332,22,0
Takehiro,2,40,40,40,66
Takehiro,3,40,53,53,0
Takehiro,4,40,35.333333333333336,40,14
Takehiro,5,66,26.666666666666668,14,10
Takehiro,6,0,8,10,0
Takehiro,7,14,8,10,21
Takehiro,8,10,10.333333333333334,10,15
Takehiro,9,0,12,15,45
Takehiro,10,21,27,21,24
Takehiro,11,15,28,24,90
Leandro,2,17,17,17,0
Leandro,3,17,8.5,8.5,45
Leandro,4,17,20.666666666666668,17,0
Leandro,5,0,15,0,66
Leandro,6,45,37,45,0
Leandro,7,0,22,0,0
Leandro,8,66,22,0,45
Leandro,9,0,15,0,12
Leandro,10,0,19,12,24
Leandro,11,45,27,24,11
Benjamin,2,90,90,90,90
Benjamin,3,90,90,90,90
Benjamin,4,90,90,90,90
Benjamin,5,90,90,90,90
Benjamin,6,90,90,90,90
Benjamin,7,90,90,90,90
Benjamin,8,90,90,90,90
Benjamin,9,90,90,90,90
Benjamin,10,90,90,90,65
Benjamin,11,90,81.66666666666667,90,72
Oleksandr,2,0,0,0,1
Oleksandr,3,0,0.5,0.5,34
Oleksandr,4,0,11.666666666666666,1,75
Oleksandr,5,1,36.666666666666664,34,79
Oleksandr,6,34,62.666666666666664,75,90
Oleksandr,7,75,81.33333333333333,79,68
Oleksandr,8,79,79,79,74
Oleksandr,9,90,77.33333333333333,74,45
Oleksandr,10,68,62.333333333333336,68,90
Oleksandr,11,74,69.66666666666667,74,17
David,5,0,0,0,90
David,6,0,30,0,90
David,7,0,60,90,90
David,8,90,90,90,90
David,9,90,90,90,90
David,10,90,90,90,90
David,11,90,90,90,90
Declan,2,90,90,90,90
Declan,3,90,90,90,90
Declan,4,90,90,90,90
Declan,5,90,90,90,90
Declan,6,90,90,90,45
Declan,7,90,75,90,80
Declan,8,90,71.66666666666667,80,90
Declan,9,45,71.66666666666667,80,90
Declan,10,80,86.66666666666667,90,88
